Date,Open,High,Low,Close,Volume
21-Jan-22,25.81,28.7,24.34,27.06,"108,935,066"
24-Jan-22,25.85,30.27,25.81,29.71,"63,570,315"
25-Jan-22,29.04,29.71,26.45,26.53,"30,616,447"
26-Jan-22,27.13,27.6,24.67,24.75,"24,816,248"
27-Jan-22,24.8,25.57,23.76,23.97,"20,292,939"
28-Jan-22,24,25.71,22.81,25.64,"21,521,365"
31-Jan-22,26.55,27.66,26.01,27.33,"24,148,969"
01-Feb-22,27.39,28.57,26.59,28.02,"13,796,422"
02-Feb-22,27.9,27.9,25.88,26.7,"15,476,870"
03-Feb-22,26.27,26.6,24.2,24.25,"10,447,598"
04-Feb-22,24.66,24.79,23.21,24.6,"25,406,203"
07-Feb-22,31.62,32.22,27.91,29.75,"105,815,260"
08-Feb-22,30.2,40.35,29.7,37.27,"246,529,072"
09-Feb-22,36.52,38.93,35.61,38.77,"78,117,369"
10-Feb-22,36.96,39.63,36.41,37.46,"33,703,991"
11-Feb-22,36.81,37.3,33.68,34.68,"29,809,292"
14-Feb-22,33.71,34.96,32.18,32.83,"21,832,314"
15-Feb-22,33,33.65,31.95,33.25,"16,048,232"
16-Feb-22,33.16,34.2,31.53,32.05,"14,457,161"
17-Feb-22,31.97,33.01,30.21,30.59,"11,003,997"
18-Feb-22,30.57,31.69,29.08,29.63,"13,085,398"
22-Feb-22,29.48,30.31,28.4,28.55,"10,919,910"
23-Feb-22,28.73,29.12,26.7,27,"13,930,566"
24-Feb-22,25.5,28.6,25.26,28.3,"20,463,558"
25-Feb-22,28.08,28.44,26.75,28.19,"9,672,803"
28-Feb-22,28.95,29.12,27.11,29.06,"10,510,185"
01-Mar-22,28.89,29.15,27.2,27.62,"8,231,787"
02-Mar-22,27.47,27.51,25.85,26.73,"10,230,767"
03-Mar-22,26.97,27.02,24.4,24.52,"15,971,858"
04-Mar-22,24.8,24.82,22.46,23.49,"18,928,884"
07-Mar-22,23.59,24.08,22.14,22.52,"11,855,500"
08-Mar-22,22.22,23.51,21.33,22.55,"10,392,014"
09-Mar-22,22.82,23.86,22.69,23.44,"7,501,141"
10-Mar-22,22.59,23.13,21.99,22.61,"8,629,180"
11-Mar-22,22.64,22.71,21.04,21.14,"9,021,373"
14-Mar-22,20.81,21.88,20.11,20.2,"11,106,560"
15-Mar-22,21.01,22.82,20.56,22.61,"13,301,717"
16-Mar-22,22.87,23.44,22.08,23.31,"9,640,516"
17-Mar-22,23.21,24.73,22.92,24.7,"7,399,655"
18-Mar-22,24.64,26.7,24.61,26.62,"11,291,108"
21-Mar-22,26.37,26.72,24.98,26.25,"6,553,750"
22-Mar-22,25.93,28.14,25.85,27.53,"7,280,652"
23-Mar-22,27.33,29.86,26.86,28.71,"11,043,861"
24-Mar-22,28.37,29.18,27.17,28.94,"8,149,824"
25-Mar-22,29.23,29.66,27.82,28.42,"9,139,713"
28-Mar-22,28.44,29.12,26.88,28.07,"7,858,084"
29-Mar-22,28.65,32.14,28.37,30.89,"14,294,313"
30-Mar-22,30.06,30.78,27.92,28.44,"11,089,811"
31-Mar-22,28.56,28.91,26.25,26.42,"10,141,450"
01-Apr-22,26.57,26.92,25.8,26.31,"5,939,623"
04-Apr-22,26.49,27.83,25.83,27.81,"6,353,638"
05-Apr-22,27.71,27.95,25.88,26.2,"6,889,617"
06-Apr-22,25.57,25.85,24.25,24.91,"10,038,568"
07-Apr-22,24.67,25.21,22.85,24.06,"10,194,305"
08-Apr-22,24.4,24.59,23.4,23.56,"7,830,367"
11-Apr-22,23.01,24.6,22.53,24.18,"6,189,172"
12-Apr-22,24.18,25.08,23.57,23.71,"5,599,831"
13-Apr-22,23.66,25.05,23.29,25.03,"4,851,602"
14-Apr-22,24.82,26.5,23.1,23.87,"15,065,440"
18-Apr-22,23.51,24.05,21.9,23.91,"9,825,775"
19-Apr-22,23.76,25.13,23.51,24.53,"5,757,015"
20-Apr-22,24.57,24.57,21.74,21.77,"11,514,502"
21-Apr-22,22.02,22.35,20.41,20.47,"8,686,080"
22-Apr-22,20.72,20.88,19.66,20.39,"10,773,342"
25-Apr-22,20.04,20.5,19.53,20.41,"8,679,933"
26-Apr-22,20.19,20.47,18.91,19.02,"8,822,413"
27-Apr-22,18.55,19.5,18.34,18.64,"7,262,048"
28-Apr-22,18.71,19.04,17.38,18.47,"12,648,623"
29-Apr-22,18.84,19.93,17.53,17.56,"11,659,941"
02-May-22,17.65,18.83,17.21,18.73,"9,323,840"
03-May-22,18.45,18.85,17.96,18.31,"9,009,157"
04-May-22,18.27,18.86,16.78,18.71,"13,104,541"
05-May-22,18.53,18.53,16.67,17.01,"10,827,489"
06-May-22,16.74,16.94,14.7,15.7,"18,179,027"
09-May-22,15.34,15.61,14.06,14.13,"15,995,025"
10-May-22,12.1,13.48,11.25,12.9,"63,037,678"
